cluster,violation_count,lat_center,lon_center,lat_std,lon_std,unique_vehicles,peak_violations,dominant_hour,dominant_day,dominant_type,peak_ratio,spread_m,hotspot_score,rank
53,156,13.023649223076923,77.58493718205128,0.0008002239417887902,0.00023632021455149456,147,15,4,Tuesday,['WRONG PARKING'],0.09615384615384616,92.61721874292225,171.00000000000003,101
193,147,12.88861987755102,77.56269660340135,0.0006329550946864506,0.0006047467080346764,140,23,5,Monday,['NO PARKING'],0.1564625850340136,97.17102128946865,170.0,102
130,100,12.930540512,77.60974053199999,0.00045432693102903,0.00010609232389019692,82,62,20,Friday,"['PARKING IN A MAIN ROAD', 'WRONG PARKING']",0.62,51.78700704968899,162.0,103
289,103,13.028930251392786,77.5396404123301,0.00012789958576674037,0.0004534615387121611,100,56,20,Saturday,['NO PARKING'],0.5436893203883495,52.29804445673802,159.0,104
139,123,13.034280275346696,77.55754187428796,0.0006573192277106589,0.0005030472831823939,120,26,22,Tuesday,['WRONG PARKING'],0.21138211382113822,91.87723767917403,149.0,105
177,78,12.911066685897437,77.57318414102564,0.0006612137571582508,0.0002939093377487251,63,71,21,Friday,['WRONG PARKING'],0.9102564102564102,80.31878478946851,149.0,106
39,111,12.926758337837837,77.55080263153154,0.00036022853984494894,0.0002418430678207945,108,34,2,Saturday,['NO PARKING'],0.3063063063063063,48.16078437537034,145.0,107
98,141,12.996477036170212,77.58446336170212,0.0002755577736360435,0.00015147303893073356,124,4,2,Wednesday,['NO PARKING'],0.028368794326241134,34.90348503489359,145.0,108
283,118,12.920947954534311,77.66552672543556,0.00030841362017981685,0.0005381215579490342,115,26,0,Thursday,['WRONG PARKING'],0.22033898305084745,68.8462923314876,144.0,109
244,113,13.050460300884955,77.52553149557522,5.6819154679667315e-05,4.559298267964625e-05,62,29,5,Tuesday,['NO PARKING'],0.25663716814159293,8.08636059576088,142.0,110
64,102,12.926612974509803,77.60894490098039,0.0007661784653261532,0.00014631471471485052,96,39,21,Tuesday,"['PARKING IN A MAIN ROAD', 'WRONG PARKING']",0.38235294117647056,86.58266370796709,141.0,111
282,110,12.840377156623344,77.67696523956388,0.0007234415973748668,0.0005705142241099534,109,30,23,Friday,['NO PARKING'],0.2727272727272727,102.26794660510889,140.0,112
338,77,13.022549083653935,77.6378287741035,0.00017190518883693196,0.00037398554679602373,77,63,7,Monday,['WRONG PARKING'],0.8181818181818182,45.6878728015585,140.0,113
306,129,12.987108953488372,77.58027426666666,0.00040344944987045887,0.0002769057094523496,126,8,2,Sunday,['NO PARKING'],0.06201550387596899,54.31612696369776,137.0,114
467,129,12.961006474418605,77.63714283333333,0.0002996212062437716,0.0008905011934389185,111,5,23,Saturday,['NO PARKING'],0.03875968992248062,104.29070215454085,134.0,115
269,77,12.935592206493506,77.60811314805194,0.00021158940647189418,0.0005774617138398612,69,56,21,Wednesday,"['PARKING IN A MAIN ROAD', 'WRONG PARKING']",0.7272727272727273,68.265641439996,133.0,116
263,97,12.940535136082474,77.52458504536082,0.00036153977627683055,0.00029222009471511286,96,34,5,Monday,['WRONG PARKING'],0.35051546391752575,51.60050752239074,131.0,117
93,93,12.961097343010753,77.58694609569892,0.0003495875424968619,0.0007376022038096062,75,38,4,Saturday,['WRONG PARKING'],0.40860215053763443,90.60404906606074,131.0,118
249,119,12.987232678991598,77.73527166890757,0.00037463521079288565,0.0003402500660074038,112,11,22,Thursday,"['PARKING ON FOOTPATH', 'WRONG PARKING']",0.09243697478991597,56.175393476164395,130.0,119
476,77,12.939439758441559,77.58400096623376,0.00020604062792370291,6.0925760713874736e-05,73,52,8,Sunday,['WRONG PARKING'],0.6753246753246753,23.849426180714993,129.0,120
312,89,12.932576858426966,77.63153250337078,0.0003754404303946651,0.0003797510429827195,84,37,21,Friday,['NO PARKING'],0.4157303370786517,59.27507791882692,125.99999999999999,121
183,77,12.977509635064935,77.59114351818182,0.00032248318388082434,0.000271473249007837,77,48,20,Saturday,['NO PARKING'],0.6233766233766234,46.79056571684424,125.0,122
175,105,13.093880261904763,77.59430343619047,0.0006673718232426491,0.00022902123941044746,100,19,0,Saturday,['WRONG PARKING'],0.18095238095238095,78.31880910566326,124.0,123
290,103,12.96360931911028,77.64152772509769,0.00035622734991700897,0.0001440554121352212,99,20,4,Sunday,['NO PARKING'],0.1941747572815534,42.652013466293795,122.99999999999999,124
75,81,12.906850941700089,77.54603057182707,0.00019372634140084615,0.0004478994839437843,77,40,7,Saturday,['NO PARKING'],0.49382716049382713,54.167982152387296,121.0,125
272,109,12.935893991743118,77.51802037155963,0.0004233606973061031,0.00028026544398208523,107,11,5,Thursday,['WRONG PARKING'],0.10091743119266056,56.357291738367024,120.0,126
11,100,13.04544038,77.507033969,0.00019363204718485463,0.0009061142096622295,97,15,0,Tuesday,['WRONG PARKING'],0.15,102.84953150075076,114.99999999999999,127
